filer,filingYear,sourceName,address,businessActivity,position,grossIncome,consideration,saleOf,commissionOrRentalIncomeDescription,otherDescription,formUrl,legislatorGlassHouseUrl
Andreas Borgeas,2021,California State University of Fresno Foundation,"4910 N Chestnut, Fresno CA 93726",State University,Program Specialist,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/7566841f-0e31-40ff-a51e-070438dda682.pdf,https://calmatters.org/legislator-tracker/andreas-borgeas
Andreas Borgeas,2021,The California 911 Memorial,"3485 Never Forget Lane, Clovis CA",911 Memorial,Executive Director,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/7566841f-0e31-40ff-a51e-070438dda682.pdf,https://calmatters.org/legislator-tracker/andreas-borgeas
Isaac Bryan,2021,The Disney Foundation,"3500 W Olive Ave Ste 700 Burbank, CA 91505",Social Justice Foundation,Communications Consultant,"$1,001 - $10,000",Other,,,Nonemployee compensation,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/21a6f292-f1a2-4525-abcb-116b17a2ef64.pdf,https://calmatters.org/legislator-tracker/isaac-bryan-1992
Steven Choi,2021,"New Era Academy, Inc. Kumon Math & Reading","4199 Campus Drive Irvine, CA 92612",Tutoring,Principal Educator,"$1,001 - $10,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/8a8da3e0-e42e-4e18-86b5-01a84c5aade5.pdf,https://calmatters.org/legislator-tracker/steven-choi
Damon Connolly,2022,"Lerner Poole & Stewart, LLP","535 Pacific Avenue San Francisco, CA 941133",Law Firm,Spouse-Paralegal,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9b49afd4-37e7-4367-b42e-86052ef70145.pdf,https://calmatters.org/legislator-tracker/damon-connolly-1963
Damon Connolly,2023,"Lerner Poole & Stewart, LLP ","535 Pacific Avenue San Francisco, CA 94133 ",Law Firm,Spouse-Paralegal,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ecc684db-8c68-4dff-bdf6-9c120732cd2a.pdf,https://calmatters.org/legislator-tracker/damon-connolly-1963
Ken Cooley,2021,Cordova Neighborhood. Church,"10604 Coloma Road .Rancho Cordova, CA 95670",Church,None,"$1,001 - $10,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/8a54d8f2-c791-4e9f-8bda-2a5d739c5b46.pdf,https://calmatters.org/legislator-tracker/ken-cooley
Dave Cortese,2021,van Keulen & van Keulen Law Office,17600 Monterey St. Ste. D Morgan Hill CA,Law Office,Attorney of Counsel,"$1,001 - $10,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/a2048986-e246-464e-9293-32223da16981.pdf,https://calmatters.org/legislator-tracker/dave-cortese
Dave Cortese,2022,van Keulen & van Keulen Law Office ,17600 Monterey St. Ste. D Morgan Hill CA,Law Office,Attorney of Counsel,"$1,001 - $10,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f336db39-c72c-42ad-bc7f-5853af1751b9.pdf,https://calmatters.org/legislator-tracker/dave-cortese-1956
Dave Cortese,2023,Carry the Vision,"7365 Monterey Street #203, Gilroy CA",Nonprofit - Community Based Organization,Program Instructor (spouse),"$1,001 - $10,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/11b6b655-c141-4982-a5a5-40451863678e.pdf,https://calmatters.org/legislator-tracker/dave-cortese-1956
Dave Cortese,2023,Vietnamese American Community Center of the East Bay,"198 East 14 Street, San Leandro, CA",Nonprofit - Community Based Organization,Mortgage holder/partner,"$10,001 - $100,000",Loan repayment,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/11b6b655-c141-4982-a5a5-40451863678e.pdf,https://calmatters.org/legislator-tracker/dave-cortese-1956
Dave Cortese,2023,van Keulen &van Keulen Law Office,17600 Monterey St. Ste. D Morgan Hill CA,Law Office,Attorney of Counsel,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/11b6b655-c141-4982-a5a5-40451863678e.pdf,https://calmatters.org/legislator-tracker/dave-cortese-1956
Diane Dixon,2022,Avery Dennison Corporation,"207 Goode Ave Glendale, CA 91203",Manufacturer - Labels/Packaging materials,No business position,"Over $100,000",Other,,,Retirement distributions,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/b8215ecc-014b-40bf-a4ee-f70f316fb517.pdf,https://calmatters.org/legislator-tracker/diane-dixon
Diane Dixon,2023,Avery Dennison Corporation,"207 Goode Ave Glendale, CA 91203",Manufacturer - Labels/Packaging materials,No business position,"Over $100,000",Other,,,Retirement distributions,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/cd4e1129-a456-4f77-aab2-a03a57cf7771.pdf,https://calmatters.org/legislator-tracker/diane-dixon-1951
Bill Dodd,2022,Campagna Realty Services,"PO Box 30213 Walnut Creek, CA 94598",Real Estate Loan,Investor,"Over $100,000",Loan repayment,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/63be9b84-1624-48e9-9d18-723a802f78c1.pdf,https://calmatters.org/legislator-tracker/bill-dodd-1956
Bill Dodd,2022,Cherry Pick TN,"LLC 9 E. Loockerman Street Suite 311 Dover, DE 19901",Real Estate,Investor,"Over $100,000",Other,,,LLC,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/63be9b84-1624-48e9-9d18-723a802f78c1.pdf,https://calmatters.org/legislator-tracker/bill-dodd-1956
Bill Dodd,2022,Open Path Investments LLC,"930 Irwin St. San Rafael, CA 94901",Real Estate,Investor,"Over $100,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/63be9b84-1624-48e9-9d18-723a802f78c1.pdf,https://calmatters.org/legislator-tracker/bill-dodd-1956
Bill Dodd,2023,Campagna Realty Services,"PO Box 30213 Walnut Real Estate Creek, CA 94598",Real Estate Loan ,Investor,"Over $100,000",Loan repayment,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/832adddc-97bc-4f36-9c54-b9f2fb13609c.pdf,https://calmatters.org/legislator-tracker/bill-dodd-1956
Bill Dodd,2023,"Cherry Pick TN, LLC","9 E. Loockerman Street Suite 311 Dover, DE 19901",Real Estate,Investor,"Over $100,000",Other,,,LLC,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/832adddc-97bc-4f36-9c54-b9f2fb13609c.pdf,https://calmatters.org/legislator-tracker/bill-dodd-1956
Bill Dodd,2023,Hall Asset Holding LLC," 2323 Ross Ave, Suite 200, Dallas, TX 75201",Real Estate,Lender,"Over $100,000",Loan repayment,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/832adddc-97bc-4f36-9c54-b9f2fb13609c.pdf,https://calmatters.org/legislator-tracker/bill-dodd-1956
Bill Dodd,2023,Hall Structured Finance Pegasus LP,"2323 Ross Ave, Suite 200, Dallas Texas 75201",Real Estate,Lender,"Over $100,000",Loan repayment,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/832adddc-97bc-4f36-9c54-b9f2fb13609c.pdf,https://calmatters.org/legislator-tracker/bill-dodd-1956
Bill Dodd,2023,Open Path Investments,"LLC/Tilden - 930 Irwin St. San Rafael, i CA 94901,",Real Estate,Investor ,"Over $100,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/832adddc-97bc-4f36-9c54-b9f2fb13609c.pdf,https://calmatters.org/legislator-tracker/bill-dodd-1956
Heath Flora,2022,Exact Corp,"5143 Bluegum Ave., Modesto, CA 95358",,Sales Manager,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/51843209-efd6-46e8-8e93-f970672debbe.pdf,https://calmatters.org/legislator-tracker/heath-flora-1983
Heath Flora,2022,Jonathan J Flora,"5143 Bluegum Ave., Modesto, CA 95358",,Farmer,"$10,001 - $100,000",Commission,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/51843209-efd6-46e8-8e93-f970672debbe.pdf,https://calmatters.org/legislator-tracker/heath-flora-1983
Heath Flora,2023,Exact Corp,"5143 Bluegum Ave., Modesto CA 95358",,Sales Manager,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/46c16752-4f4c-4448-a46f-154d62f9f90c.pdf,https://calmatters.org/legislator-tracker/heath-flora-1983
Heath Flora,2023,Jonathan J Flora,"5143 Bluegum Ave., Modesto CA 95358",,Farmer,"$10,001 - $100,000",Commission,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/46c16752-4f4c-4448-a46f-154d62f9f90c.pdf,https://calmatters.org/legislator-tracker/heath-flora-1983
Vince Fong,2023,Poso Creek Family Dairy LLC,"13437 Gun Club Rd, Wasco, CA 93280 ",Dairy,Sale of dairy,"Over $100,000",Sale of,Boschma & Son Dairy (see sch. A-2),,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/cba5aeb6-506d-444b-a2f6-87203063a411.pdf,https://calmatters.org/legislator-tracker/vince-fong-1979
Jesse Gabriel,2021,Bocarsly Emden Cowan Ismail & Arndt,"622 West 5th St, 64 Fl, Los Angeles, CA 90071",Law Firm,Attorney,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c392e52b-7c6a-4a41-aa3f-ced8d004ab78.pdf,https://calmatters.org/legislator-tracker/jesse-gabriel-1981
Jesse Gabriel,2022,Bocarsly Emden Cowan Ismail & Arndt,"622 West 5th St, 64 Fl, Los Angeles, CA 90071",Law Firm ,Attorney,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c6eb9ea6-fb35-4f11-b44c-3954df86284a.pdf,https://calmatters.org/legislator-tracker/jesse-gabriel-1981
Jesse Gabriel,2023,Bocarsly Emden Cowan Esmail & Arndt,"633 West Fifth Street Suite 5880 Los Angeles, CA 90071",Law Firm ,Law Firm ,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c4de2e90-d7b0-46e5-96d3-bb47db8cac46.pdf,https://calmatters.org/legislator-tracker/jesse-gabriel-1981
James Gallagher,2021,Cornerstone Land & Investment Company,855 Harter Parkway Ste 360 Yuba City CA,Real Estate,Counsel,"$10,001 - $100,000",Other,,,services- 1099,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/6fa2d330-a385-4ee6-8b60-3aa6cd69d3fb.pdf,https://calmatters.org/legislator-tracker/james-gallagher-1981
James Gallagher,2021,Rice Lawyer Inc,"437 Century Park Drive Ste C, Yuba City CA",Law,Attorney,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/6fa2d330-a385-4ee6-8b60-3aa6cd69d3fb.pdf,https://calmatters.org/legislator-tracker/james-gallagher-1981
James Gallagher,2022,Cornerstone Land & Investment Company,"855 Harter Pkwy Ste 360, Yuba City CA",Real Estate,Counsel,"$10,001 - $100,000",Other,,,services 1099,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4fbc2a60-40f9-4464-a339-b971c45a5571.pdf,https://calmatters.org/legislator-tracker/james-gallagher-1981
James Gallagher,2022,Rice Lawyers Inc,"437 Century Park Dr Ste C, Yuba City, CA",Law,Attorney,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4fbc2a60-40f9-4464-a339-b971c45a5571.pdf,https://calmatters.org/legislator-tracker/james-gallagher-1981
James Gallagher,2023,Cornerstone Land & Investment Company,855 Harter Pkwy Ste 360 Yuba City Ca,,,"$10,001 - $100,000",Other,,,services 1099,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/3ff0441e-4e2f-434e-a9cb-04fa39ecfb52.pdf,https://calmatters.org/legislator-tracker/james-gallagher-1981
James Gallagher,2023,Rice Lawyers Inc,"437 Century Park Dr Suite C Yuba City, CA",Law,Attorney,"$10,001 - $100,000",,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/3ff0441e-4e2f-434e-a9cb-04fa39ecfb52.pdf,https://calmatters.org/legislator-tracker/james-gallagher-1981
Eduardo Garcia,2021,Bliss Denistry,"46660 Washington St. Ste 10, La Quinta, CA 92253",Denistry,Office Staff,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e2fa1e99-ab53-43bb-b8c4-889ae40cabe0.pdf,https://calmatters.org/legislator-tracker/eduardo-garcia-1977
Eduardo Garcia,2022,Bliss Dentistry,"46660 Washington St. Ste 10, La Quinta, CA 92253",Denistry,Office Staff,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/8c4b0098-af8d-4092-ab7a-cc352427e800.pdf,https://calmatters.org/legislator-tracker/eduardo-garcia-1977
Eduardo Garcia,2023,Bliss Dentistry,"46660 Washington St. Ste 10, La Quinta, CA 92253",Dentistry,Office staff,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/a3ddf291-2139-4c7f-86d8-7a90c617e89c.pdf,https://calmatters.org/legislator-tracker/eduardo-garcia-1977
Steve Glazer,2021,ATT,"175 E. HOUSTON STREET, SAN ANTONIO, TX",TELECOMMUNICATIONS,SPOUSE IS A RETIREE,"Over $100,000",Other,,,RETIREMENT BENEFITS,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c8a5612e-c6be-42ef-ac31-46d629c9369c.pdf,https://calmatters.org/legislator-tracker/steve-glazer
Steve Glazer,2021,HALL WINES OF NAPA LP,"401 ST HELENA HIGHWAY SOUTH, ST HELENA, CA",WINE GRAPE GROWER AND SALES,PARTNER,"$1,001 - $10,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c8a5612e-c6be-42ef-ac31-46d629c9369c.pdf,https://calmatters.org/legislator-tracker/steve-glazer
Steve Glazer,2022,ATT,"175 E Houston St., San Antonio, TX",Telecommunications,Spouse is a retiree,"Over $100,000",Other,,,Retirement Benefits,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ee449269-aff8-46f4-818e-8aa238015476.pdf,https://calmatters.org/legislator-tracker/steven-glazer-1957
Steve Glazer,2022,Hall Wines of Napa LP,"401 St Helena Hwy, St Helena, CA ",Wine grape grower and sales,Partner,"$1,001 - $10,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ee449269-aff8-46f4-818e-8aa238015476.pdf,https://calmatters.org/legislator-tracker/steven-glazer-1957
Steve Glazer,2023,ATT,"175 E Houston St., San Antonio, TX",Telecommunications,Spouse is a retiree,"Over $100,000",,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4ff6569b-bc7a-4ece-9708-5b14b0cc440a.pdf,https://calmatters.org/legislator-tracker/steven-glazer-1957
Steve Glazer,2023,Hall Wines of Napa LP,"401 St. Helena Hwy, St. Helena, CA",Wine grape grower and sales,Partner,"$1,001 - $10,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4ff6569b-bc7a-4ece-9708-5b14b0cc440a.pdf,https://calmatters.org/legislator-tracker/steven-glazer-1957
Tim Grayson,2021,Calvary Apostolic Church,3425 Concord Blvd. Concord CA 94519,Private School,School Administrator,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/7d785c76-c15a-4c3e-a5f6-60a22d6566c2.pdf,https://calmatters.org/legislator-tracker/tim-grayson-1967
Tim Grayson,2021,Calvary Apostolic Church,3425 Concord Blvd. Concord CA 94519,Church,Pastor,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/7d785c76-c15a-4c3e-a5f6-60a22d6566c2.pdf,https://calmatters.org/legislator-tracker/tim-grayson-1967
Tim Grayson,2022,Calvary Apostolic Church,3425 Concord Blvd. Concord CA 94519,Private School,School Administrator,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/94b3ed68-7708-4ec3-8598-90c9e8b5033d.pdf,https://calmatters.org/legislator-tracker/tim-grayson-1967
Tim Grayson,2022,Calvary Apostolic Church,3425 Concord Blvd. Concord CA 94519,Church,Pastor,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/94b3ed68-7708-4ec3-8598-90c9e8b5033d.pdf,https://calmatters.org/legislator-tracker/tim-grayson-1967
Tim Grayson,2023,Life Point Academy,3425 Concord Blvd. Concord CA 94519,Private School,School Administrator,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/91ba77d3-5ce9-4b5b-a11d-00b4477f8ba3.pdf,https://calmatters.org/legislator-tracker/tim-grayson-1967
Tim Grayson,2023,Life Point Church,3425 Concord Blvd. Concord CA 94519,Church,Pastor,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/91ba77d3-5ce9-4b5b-a11d-00b4477f8ba3.pdf,https://calmatters.org/legislator-tracker/tim-grayson-1967
Shannon Grove,2021,Kraken Oil and Gas LLC,"9805 Katy Freeway Suite 300, Houston TX 77024",,Rick Grove Oil Well Production,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/1d66a914-faf6-456f-b0e6-79eb85e1932c.pdf,https://calmatters.org/legislator-tracker/shannon-grove
Shannon Grove,2021,Principal Retirement Fund,"4141 Parkland Ave. Raleigh, NC 27612",,Rick Grove Retirement Fund,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/1d66a914-faf6-456f-b0e6-79eb85e1932c.pdf,https://calmatters.org/legislator-tracker/shannon-grove
Shannon Grove,2021,Social Security Administration,"6401 Security Blvd., Baltimore, MD 21235",,Rick Grove Retirement Benefits,,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/1d66a914-faf6-456f-b0e6-79eb85e1932c.pdf,https://calmatters.org/legislator-tracker/shannon-grove
Shannon Grove,2022,Kraken Oil and Gas LLC,"9805 Katy Freeway, Suite 300, Houston TX 77024",,Rick Grove North Dakota Oil Well Production,"$1,001 - $10,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e0ebfcbf-000b-48d9-9248-8d68d1b4bdd6.pdf,https://calmatters.org/legislator-tracker/shannon-grove-1965
Shannon Grove,2022,Principal Retirement Fund,"4141 Parkland Ave. Raleigh, NC 27612",,Rick Grove Retirement Fund,"Over $100,000",,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e0ebfcbf-000b-48d9-9248-8d68d1b4bdd6.pdf,https://calmatters.org/legislator-tracker/shannon-grove-1965
Shannon Grove,2022,Social Security Administration,"6401 Security Blvd., Baltimore, MD 21235",,Rick Grove Retirement Benefits,"$10,001 - $100,000",,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e0ebfcbf-000b-48d9-9248-8d68d1b4bdd6.pdf,https://calmatters.org/legislator-tracker/shannon-grove-1965
Shannon Grove,2023,Jim Burke Ford,"2001 Oak St, Bakersfield, CA 93301",,Seller,"$10,001 - $100,000",Sale of,Vehicle,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4303c22f-7da2-4e04-a9ea-f1222b21f879.pdf,https://calmatters.org/legislator-tracker/shannon-grove-1965
Shannon Grove,2023,Kraken Oil and Gas LLC,"9805 Katy Freeway, Suite 300 , Houston TX 77024",,Rick Grove North Dakota Oil Well Production,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4303c22f-7da2-4e04-a9ea-f1222b21f879.pdf,https://calmatters.org/legislator-tracker/shannon-grove-1965
Shannon Grove,2023,Principal Retirement Fund,"4141 Parkland Ave. Raleigh, NC 27612",,Rick Grove Retirement Fund,"$10,001 - $100,000",,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4303c22f-7da2-4e04-a9ea-f1222b21f879.pdf,https://calmatters.org/legislator-tracker/shannon-grove-1965
Shannon Grove,2023,Social Security Administration,"6401 Security Blvd., Baltimore, MD 21235",,Rick Grove Retirement Benefits,"$10,001 - $100,000",,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4303c22f-7da2-4e04-a9ea-f1222b21f879.pdf,https://calmatters.org/legislator-tracker/shannon-grove-1965
Gregg Hart,2022,Darden,"5840 W. 86th St., Indianapolis, IN 46278",,Property Owner,"$10,001 - $100,000",Rental income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/429f7a52-b325-4012-8b9b-d2636bf694e9.pdf,https://calmatters.org/legislator-tracker/gregg-hart-1959
Gregg Hart,2022,Steve Weintraub ,"1525 State St., Suite 104, Santa Barbara, CA 93101",,,"$10,001 - $100,000",Loan repayment,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/429f7a52-b325-4012-8b9b-d2636bf694e9.pdf,https://calmatters.org/legislator-tracker/gregg-hart-1959
Gregg Hart,2023,Darden,"5840 W 86th St., Indianapolis, IN 46278",,Property Owner,"$10,001 - $100,000",Rental income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/408ad8a0-9e1f-45b9-8aff-6d222f90d445.pdf,https://calmatters.org/legislator-tracker/gregg-hart-1959
Robert Hertzberg,2021,"O Positive, LLC","3303 Pico Blvd., 2nd Floor, Santa Monica, CA 90405",Location production company,No business position,"$1,001 - $10,000",Other,,,Rental of house for TV/film production,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/bae16463-12a8-49a7-aa63-71317f92e8fd.pdf,https://calmatters.org/legislator-tracker/robert-hertzberg
Robert Hertzberg,2021,"Palogix International, Inc.","11601 Wilshire Blvd., #1925, Los Angeles, CA 90025",Logistics,Board chairman,No income - business position only,Other,,,No Income - Business Position Only; Ended in 2021,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/bae16463-12a8-49a7-aa63-71317f92e8fd.pdf,https://calmatters.org/legislator-tracker/robert-hertzberg
Robert Hertzberg,2021,"Team Halprin, Inc.","28047 Dorothy Dr., Suite 200, Agoura Hills, CA 91301",Location production company,No business position,"$1,001 - $10,000",Other,,,Rental of house for TV/film production,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/bae16463-12a8-49a7-aa63-71317f92e8fd.pdf,https://calmatters.org/legislator-tracker/robert-hertzberg
Robert Hertzberg,2021,"Tool of North America, LLC","2210 Broadway, Santa Monica, CA 90404 ",Location production company,No business position,"$10,001 - $100,000",Other,,,Rental of house for TV/film production,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/bae16463-12a8-49a7-aa63-71317f92e8fd.pdf,https://calmatters.org/legislator-tracker/robert-hertzberg
